label,fee,window,start,end,num_trades,total_return_pct,max_drawdown_pct,sharpe_ratio
baseline_edge_0.0008,0.0005,random_30d_seed202,2024-08-29,2024-09-28,222,10.940389412499329,-3.965437896630153,5.895265190214531
baseline_edge_0.0008,0.0005,random_30d_seed303,2023-09-02,2023-10-02,240,-3.4902142030310834,-5.243336952038091,-2.122941779836471
baseline_edge_0.0008,0.0005,random_30d_seed404,2023-10-29,2023-11-28,187,-9.770061063046608,-10.132280797494875,-5.915658541778302
baseline_edge_0.0008,0.0005,random_30d_seed505,2024-01-01,2024-01-31,192,12.66433583596931,-5.072689336916247,4.886040532294774
baseline_edge_0.0008,0.0005,random_30d_seed606,2023-09-27,2023-10-27,207,5.967381079975498,-3.9851280370620468,3.21377102013616
baseline_edge_0.0010,0.0005,random_30d_seed7,2024-06-27,2024-07-27,206,-1.43084752802477,-9.85238706224819,-0.7926375765611424
baseline_edge_0.0010,0.0005,random_30d_seed21,2024-01-16,2024-02-15,195,6.455050260354911,-5.038008106524727,3.119882114901387
baseline_edge_0.0010,0.0005,random_30d_seed42,2025-05-16,2025-06-15,193,8.719301041563643,-3.9376945752448433,5.202657387440464
baseline_edge_0.0010,0.0005,random_30d_seed99,2024-09-17,2024-10-17,210,0.8503075079231204,-4.9663483616036,0.5996597086033612
baseline_edge_0.0010,0.0005,random_30d_seed123,2023-09-23,2023-10-23,211,6.416166205729712,-3.980016240812556,3.884260330057103
baseline_edge_0.0010,0.0005,random_30d_seed202,2024-08-29,2024-09-28,221,10.837516603672448,-4.054488829300739,5.854391514580757
baseline_edge_0.0010,0.0005,random_30d_seed303,2023-09-02,2023-10-02,234,-3.233598927421133,-5.243336952038069,-1.9568903427601925
baseline_edge_0.0010,0.0005,random_30d_seed404,2023-10-29,2023-11-28,187,-9.722080262475785,-10.08449261140485,-5.8861554542687085
baseline_edge_0.0010,0.0005,random_30d_seed505,2024-01-01,2024-01-31,192,12.66433583596931,-5.072689336916247,4.886040532294774
baseline_edge_0.0010,0.0005,random_30d_seed606,2023-09-27,2023-10-27,206,5.901977149175774,-3.98512803706208,3.177495670969614
baseline_edge_0.0012,0.0005,random_30d_seed7,2024-06-27,2024-07-27,206,-1.466232446471205,-9.852387062248125,-0.8144536151809881
baseline_edge_0.0012,0.0005,random_30d_seed21,2024-01-16,2024-02-15,195,6.455050260354911,-5.038008106524727,3.119882114901387
baseline_edge_0.0012,0.0005,random_30d_seed42,2025-05-16,2025-06-15,191,7.7180165166570225,-3.9376945752449877,4.649982086098104
baseline_edge_0.0012,0.0005,random_30d_seed99,2024-09-17,2024-10-17,206,0.5345994083711281,-4.9663483616036,0.4190992112905911
baseline_edge_0.0012,0.0005,random_30d_seed123,2023-09-23,2023-10-23,203,6.065229313362219,-3.980016240812634,3.691787517195057
baseline_edge_0.0012,0.0005,random_30d_seed202,2024-08-29,2024-09-28,218,10.764377152068194,-3.921366393034831,5.804705602637747
baseline_edge_0.0012,0.0005,random_30d_seed303,2023-09-02,2023-10-02,215,-3.4367231166947287,-5.248093927597052,-2.090111588533415
baseline_edge_0.0012,0.0005,random_30d_seed404,2023-10-29,2023-11-28,186,-9.532897948218821,-9.896069752029934,-5.766067187104459
baseline_edge_0.0012,0.0005,random_30d_seed505,2024-01-01,2024-01-31,192,12.66433583596931,-5.072689336916247,4.886040532294774
baseline_edge_0.0012,0.0005,random_30d_seed606,2023-09-27,2023-10-27,200,5.6794943219549365,-3.985128037062058,3.065950955857269
