label,fee,window,start,end,num_trades,total_return_pct,max_drawdown_pct,sharpe_ratio
sl0.006,0.0005,random_30d_seed404,2023-10-29,2023-11-28,187,-9.443392743339984,-10.301647928661307,-5.974719327375927
sl0.006,0.0005,random_30d_seed505,2024-01-01,2024-01-31,194,9.15908757474675,-4.912077321601094,3.7564865703053365
sl0.006,0.0005,random_30d_seed606,2023-09-27,2023-10-27,196,3.430018397173562,-5.093231059342385,2.287319953515898
sl0.007,0.0005,random_30d_seed7,2024-06-27,2024-07-27,205,-1.4201453105515238,-9.852387062248003,-0.7911688446771229
sl0.007,0.0005,random_30d_seed21,2024-01-16,2024-02-15,195,6.545085608239143,-4.957693119541928,3.1606897819776485
sl0.007,0.0005,random_30d_seed42,2025-05-16,2025-06-15,190,7.646529746010233,-3.937694575245021,4.672177208196051
sl0.007,0.0005,random_30d_seed99,2024-09-17,2024-10-17,201,0.2007572395559487,-4.966348361603556,0.22158051994980182
sl0.007,0.0005,random_30d_seed123,2023-09-23,2023-10-23,196,6.447892919451359,-3.9686720575541234,3.916312981705606
sl0.007,0.0005,random_30d_seed202,2024-08-29,2024-09-28,216,10.756815116135133,-3.862319776927714,5.7838367543811255
sl0.007,0.0005,random_30d_seed303,2023-09-02,2023-10-02,202,-0.8440224943026542,-4.731614331760625,-0.45242535755304253
sl0.007,0.0005,random_30d_seed404,2023-10-29,2023-11-28,185,-9.900061806052406,-10.581837711906294,-5.991062101933653
sl0.007,0.0005,random_30d_seed505,2024-01-01,2024-01-31,192,12.777921449544682,-5.072689336916247,4.927461867749743
sl0.007,0.0005,random_30d_seed606,2023-09-27,2023-10-27,194,5.832721341859015,-3.9737842948139313,3.1388593799915547
sl0.008,0.0005,random_30d_seed7,2024-06-27,2024-07-27,205,-1.1097671907002282,-8.852309982753281,-0.6262557764717633
sl0.008,0.0005,random_30d_seed21,2024-01-16,2024-02-15,193,6.021603561190525,-5.96307861662877,2.6400349381512176
sl0.008,0.0005,random_30d_seed42,2025-05-16,2025-06-15,190,7.641034809798231,-4.6796975803582335,4.46920286774731
sl0.008,0.0005,random_30d_seed99,2024-09-17,2024-10-17,201,2.2505736196861914,-5.505370190127423,1.417576968526705
sl0.008,0.0005,random_30d_seed123,2023-09-23,2023-10-23,194,5.682665952600985,-3.919703852503287,3.4118572046529603
sl0.008,0.0005,random_30d_seed202,2024-08-29,2024-09-28,215,13.741288082046598,-3.5487680998801285,7.4179143656270945
sl0.008,0.0005,random_30d_seed303,2023-09-02,2023-10-02,202,-2.6400370151260066,-4.759470410180011,-1.622012952813389
sl0.008,0.0005,random_30d_seed404,2023-10-29,2023-11-28,185,-10.644778491453998,-11.462471277630549,-6.078421424312342
sl0.008,0.0005,random_30d_seed505,2024-01-01,2024-01-31,192,13.234416527351467,-5.172058872577301,4.901906871561339
sl0.008,0.0005,random_30d_seed606,2023-09-27,2023-10-27,192,8.27740288762926,-3.9248188078218504,4.802570042898673
sl0.010,0.0005,random_30d_seed7,2024-06-27,2024-07-27,203,-1.8047130132921474,-9.72291848468907,-1.005289868101434
sl0.010,0.0005,random_30d_seed21,2024-01-16,2024-02-15,193,7.0146836658164125,-5.792515853072122,2.9777987653553124
sl0.010,0.0005,random_30d_seed42,2025-05-16,2025-06-15,189,6.907333918484615,-5.97029653327138,3.9050178739287866
sl0.010,0.0005,random_30d_seed99,2024-09-17,2024-10-17,199,6.612664084160835,-4.828316941723054,3.7815542869931074
sl0.010,0.0005,random_30d_seed123,2023-09-23,2023-10-23,194,6.4546347511767355,-4.462567598172617,3.3412411714118164
sl0.010,0.0005,random_30d_seed202,2024-08-29,2024-09-28,215,16.37651699858904,-4.2729115037780545,9.031799586516753
sl0.010,0.0005,random_30d_seed303,2023-09-02,2023-10-02,202,-4.6030039949734425,-6.538292408105384,-2.8826939917280976
sl0.010,0.0005,random_30d_seed404,2023-10-29,2023-11-28,185,-12.578253763655523,-13.13994078181121,-6.676745709172462
sl0.010,0.0005,random_30d_seed505,2024-01-01,2024-01-31,192,12.667168157132824,-4.21857511765642,4.651241975776844
sl0.010,0.0005,random_30d_seed606,2023-09-27,2023-10-27,192,12.332928268368736,-3.1121966775054966,6.20548954111642
