symbol,timestamp,open,high,low,close,volume,trade_count
600519.XSHG,2024-12-02 09:50:00,1474.98,1476.84,1474.4,1476.84,19365.0,28569401.0
600519.XSHG,2024-12-02 09:51:00,1477.25,1477.48,1472.66,1473.15,16051.0,23683329.0
600519.XSHG,2024-12-02 09:52:00,1473.43,1476.01,1473.43,1475.56,8595.0,12680196.0
600519.XSHG,2024-12-02 09:53:00,1474.11,1474.59,1473.43,1473.62,11287.0,16636981.0
600519.XSHG,2024-12-02 09:54:00,1474.44,1476.81,1474.44,1476.36,48153.0,71019001.0
600519.XSHG,2024-12-02 09:55:00,1476.33,1476.33,1473.86,1473.86,11495.0,16958297.0
600519.XSHG,2024-12-02 09:56:00,1474.56,1475.05,1473.37,1473.37,8284.0,12211170.0
600519.XSHG,2024-12-02 09:57:00,1472.68,1472.68,1469.76,1470.4,21125.0,31076251.0
600519.XSHG,2024-12-02 09:58:00,1470.72,1473.46,1470.43,1471.71,23538.0,34651048.0
600519.XSHG,2024-12-02 09:59:00,1471.7,1474.54,1471.59,1474.11,19261.0,28359587.0
600519.XSHG,2024-12-02 10:00:00,1473.77,1475.09,1473.07,1474.11,9216.0,13585765.0
600519.XSHG,2024-12-02 10:01:00,1475.33,1475.36,1473.93,1475.27,30030.0,44300327.0
600519.XSHG,2024-12-02 10:02:00,1475.07,1475.36,1473.79,1475.36,19800.0,29205371.0
600519.XSHG,2024-12-02 10:03:00,1475.36,1476.98,1473.62,1474.14,24666.0,36395580.0
600519.XSHG,2024-12-02 10:04:00,1474.72,1475.6,1473.92,1474.6,10563.0,15575588.0
600519.XSHG,2024-12-02 10:05:00,1473.62,1475.6,1473.62,1474.59,10045.0,14814484.0
600519.XSHG,2024-12-02 10:06:00,1474.59,1475.46,1474.59,1474.79,15045.0,22188983.0
600519.XSHG,2024-12-02 10:07:00,1474.64,1475.23,1473.0,1473.64,14468.0,21327466.0
600519.XSHG,2024-12-02 10:08:00,1472.94,1474.59,1472.19,1474.59,9113.0,13424868.0
600519.XSHG,2024-12-02 10:09:00,1474.3,1475.44,1473.62,1475.15,7042.0,10384561.0
600519.XSHG,2024-12-02 10:10:00,1475.15,1475.15,1473.62,1473.62,8906.0,13130408.0
600519.XSHG,2024-12-02 10:11:00,1474.26,1474.58,1473.62,1473.65,4556.0,6716851.0
600519.XSHG,2024-12-02 10:12:00,1473.65,1475.16,1473.65,1475.16,7352.0,10842074.0
600519.XSHG,2024-12-02 10:13:00,1474.89,1475.22,1474.11,1474.6,10252.0,15120355.0
600519.XSHG,2024-12-02 10:14:00,1474.52,1475.57,1474.11,1475.57,10936.0,16134946.0
600519.XSHG,2024-12-02 10:15:00,1475.86,1476.51,1475.45,1475.45,8699.0,12837612.0
600519.XSHG,2024-12-02 10:16:00,1474.62,1475.56,1472.93,1472.93,64721.0,95437335.0
600519.XSHG,2024-12-02 10:17:00,1472.66,1472.76,1470.95,1471.69,18847.0,27735357.0
600519.XSHG,2024-12-02 10:18:00,1473.2,1474.25,1471.77,1474.23,4867.0,7170810.0
600519.XSHG,2024-12-02 10:19:00,1474.2,1474.2,1473.19,1474.16,4246.0,6257438.0
600519.XSHG,2024-12-02 10:20:00,1473.19,1473.19,1471.7,1471.7,5281.0,7776443.0
600519.XSHG,2024-12-02 10:21:00,1471.71,1471.71,1470.73,1470.73,10977.0,16148276.0
600519.XSHG,2024-12-02 10:22:00,1470.73,1471.62,1470.72,1470.76,13048.0,19190321.0
600519.XSHG,2024-12-02 10:23:00,1470.75,1471.68,1470.01,1470.08,8595.0,12640327.0
600519.XSHG,2024-12-02 10:24:00,1470.25,1470.73,1470.09,1470.73,8802.0,12941826.0
600519.XSHG,2024-12-02 10:25:00,1470.77,1472.65,1470.77,1472.6,8491.0,12501098.0
600519.XSHG,2024-12-02 10:26:00,1473.62,1474.4,1472.66,1472.66,6835.0,10068972.0
600519.XSHG,2024-12-02 10:27:00,1473.58,1473.58,1472.66,1472.68,7456.0,10983070.0
600519.XSHG,2024-12-02 10:28:00,1472.67,1473.53,1472.67,1473.53,7145.0,10525940.0
600519.XSHG,2024-12-02 10:29:00,1473.53,1474.59,1473.52,1474.58,16879.0,24879219.0
600519.XSHG,2024-12-02 10:30:00,1474.2,1474.23,1473.06,1474.23,4142.0,6104470.0
600519.XSHG,2024-12-02 10:31:00,1474.23,1475.44,1474.22,1475.44,4039.0,5955430.0
