timestamp,from_weights,to_weights,turnover,cost_fraction,equity_after_cost
2025-11-26T13:00:00+00:00,{"BTC-USDT": -0.06069833544540826, "ETH-USDT": 0.0, "SOL-USDT": -0.16666666666666666, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.5, "POL-USDT": 0.0},{"BTC-USDT": -0.06622001550585388, "ETH-USDT": -0.16666666666666666, "SOL-USDT": 0.0, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.5, "POL-USDT": 0.0},0.338855,0.000102,0.998597
2025-11-26T14:00:00+00:00,{"BTC-USDT": -0.06622001550585388, "ETH-USDT": -0.16666666666666666, "SOL-USDT": 0.0, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.5, "POL-USDT": 0.0},{"BTC-USDT": -0.06500247343863841, "ETH-USDT": -0.16666666666666666, "SOL-USDT": 0.0, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.5, "POL-USDT": 0.0},0.001218,0.000000,0.998100
2025-11-26T15:00:00+00:00,{"BTC-USDT": -0.06500247343863841, "ETH-USDT": -0.16666666666666666, "SOL-USDT": 0.0, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.5, "POL-USDT": 0.0},{"BTC-USDT": -0.06541744555528961, "ETH-USDT": -0.16666666666666666, "SOL-USDT": 0.0, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.5, "POL-USDT": 0.0},0.000415,0.000000,0.997559
2025-11-26T16:00:00+00:00,{"BTC-USDT": -0.06541744555528961, "ETH-USDT": -0.16666666666666666, "SOL-USDT": 0.0, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.5, "POL-USDT": 0.0},{"BTC-USDT": -0.06566965295627714, "ETH-USDT": -0.16666666666666666, "SOL-USDT": 0.0, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.5, "POL-USDT": 0.0},0.000252,0.000000,0.998101
2025-11-26T17:00:00+00:00,{"BTC-USDT": -0.06566965295627714, "ETH-USDT": -0.16666666666666666, "SOL-USDT": 0.0, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.5, "POL-USDT": 0.0},{"BTC-USDT": -0.06881022078931354, "ETH-USDT": -0.16666666666666666, "SOL-USDT": 0.0, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.5, "POL-USDT": 0.0},0.003141,0.000001,0.998397
2025-11-26T18:00:00+00:00,{"BTC-USDT": -0.06881022078931354, "ETH-USDT": -0.16666666666666666, "SOL-USDT": 0.0, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.5, "POL-USDT": 0.0},{"BTC-USDT": -0.04043447718089338, "ETH-USDT": -0.16666666666666666, "SOL-USDT": 0.0, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.25, "POL-USDT": 0.25},0.528376,0.000159,0.998203
2025-11-26T19:00:00+00:00,{"BTC-USDT": -0.04043447718089338, "ETH-USDT": -0.16666666666666666, "SOL-USDT": 0.0, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.25, "POL-USDT": 0.25},{"BTC-USDT": -0.0344541947342592, "ETH-USDT": 0.0, "SOL-USDT": -0.16666666666666666, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.25, "POL-USDT": 0.25},0.339314,0.000102,0.998681
2025-11-26T20:00:00+00:00,{"BTC-USDT": -0.0344541947342592, "ETH-USDT": 0.0, "SOL-USDT": -0.16666666666666666, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.25, "POL-USDT": 0.25},{"BTC-USDT": -0.03492358396960005, "ETH-USDT": 0.0, "SOL-USDT": -0.16666666666666666, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.25, "POL-USDT": 0.25},0.000469,0.000000,0.998968
2025-11-26T21:00:00+00:00,{"BTC-USDT": -0.03492358396960005, "ETH-USDT": 0.0, "SOL-USDT": -0.16666666666666666, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.25, "POL-USDT": 0.25},{"BTC-USDT": -0.03519179490349461, "ETH-USDT": 0.0, "SOL-USDT": -0.16666666666666666, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.25, "POL-USDT": 0.25},0.000268,0.000000,0.998501
2025-11-26T22:00:00+00:00,{"BTC-USDT": -0.03519179490349461, "ETH-USDT": 0.0, "SOL-USDT": -0.16666666666666666, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.25, "POL-USDT": 0.25},{"BTC-USDT": -0.03534509046222245, "ETH-USDT": 0.0, "SOL-USDT": -0.16666666666666666, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.25, "POL-USDT": 0.25},0.000153,0.000000,0.998149
2025-11-26T23:00:00+00:00,{"BTC-USDT": -0.03534509046222245, "ETH-USDT": 0.0, "SOL-USDT": -0.16666666666666666, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.25, "POL-USDT": 0.25},{"BTC-USDT": -0.0348338008538327, "ETH-USDT": 0.0, "SOL-USDT": -0.16666666666666666, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.25, "POL-USDT": 0.25},0.000511,0.000000,0.998458
2025-11-27T00:00:00+00:00,{"BTC-USDT": -0.0348338008538327, "ETH-USDT": 0.0, "SOL-USDT": -0.16666666666666666, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.25, "POL-USDT": 0.25},{"BTC-USDT": -0.03486474134993489, "ETH-USDT": 0.0, "SOL-USDT": -0.16666666666666666, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.25, "POL-USDT": 0.25},0.000031,0.000000,0.997362
2025-11-27T01:00:00+00:00,{"BTC-USDT": -0.03486474134993489, "ETH-USDT": 0.0, "SOL-USDT": -0.16666666666666666, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.25, "POL-USDT": 0.25},{"BTC-USDT": -0.034765433706445636, "ETH-USDT": 0.0, "SOL-USDT": -0.16666666666666666, "XRP-USDT": -0.16666666666666666, "DOGE-USDT": -0.16666666666666666, "ADA-USDT": 0.25, "POL-USDT": 0.25},0.000099,0.000000,0.997375
