trade_date,symbol,entry_day,entry_time,entry_px,exit_day,exit_time,exit_px,ret
2024-09-12,600519.XSHG,2024-09-11,15:00:00,1332.64,2024-09-12,14:56:00,1289.19,-0.03320445431624448
2024-09-13,512760.XSHG,2024-09-12,15:00:00,0.719,2024-09-13,14:56:00,0.707,-0.017289847009735747
2024-09-13,600104.XSHG,2024-09-12,15:00:00,11.61,2024-09-13,14:56:00,11.5,-0.010074590869939625
2024-09-13,159915.XSHE,2024-09-12,15:00:00,1.525,2024-09-13,14:56:00,1.509,-0.011091803278688483
2024-09-13,600519.XSHG,2024-09-12,15:00:00,1289.24,2024-09-13,14:56:00,1260.33,-0.023024063789519444
2024-09-13,512010.XSHG,2024-09-12,15:00:00,0.311,2024-09-13,14:56:00,0.309,-0.007030868167202619
2024-09-18,512010.XSHG,2024-09-13,15:00:00,0.31,2024-09-18,14:56:00,0.309,-0.003825806451612856
2024-09-18,000858.XSHE,2024-09-13,15:00:00,104.34,2024-09-18,14:56:00,102.91,-0.014305194556258404
2024-09-18,600104.XSHG,2024-09-13,15:00:00,11.49,2024-09-18,14:56:00,11.7,0.017676762402088753
2024-09-18,512690.XSHG,2024-09-13,15:00:00,0.49,2024-09-18,14:56:00,0.485,-0.010804081632653072
2024-09-18,601166.XSHG,2024-09-13,15:00:00,15.26,2024-09-18,14:56:00,15.36,0.005953079947575258
2024-09-19,600519.XSHG,2024-09-18,15:00:00,1223.42,2024-09-19,14:56:00,1218.69,-0.004466211113109141
2024-09-19,000333.XSHE,2024-09-18,15:00:00,62.24,2024-09-19,14:56:00,62.27,-0.00011799485861170242
2024-09-19,600030.XSHG,2024-09-18,15:00:00,18.63,2024-09-19,14:56:00,19.02,0.02033397745571668
2024-09-19,600036.XSHG,2024-09-18,15:00:00,29.82,2024-09-19,14:56:00,29.52,-0.010660362173038295
2024-09-19,601318.XSHG,2024-09-18,15:00:00,41.79,2024-09-19,14:56:00,42.08,0.006339459200765663
2024-09-20,600340.XSHG,2024-09-19,15:00:00,1.06,2024-09-20,14:56:00,1.07,0.008833962264151052
2024-09-20,600519.XSHG,2024-09-19,15:00:00,1217.72,2024-09-20,14:56:00,1222.28,0.0031447032158459683
2024-09-20,512690.XSHG,2024-09-19,15:00:00,0.498,2024-09-20,14:56:00,0.499,0.0014080321285140814
2024-09-20,000002.XSHE,2024-09-19,15:00:00,6.77,2024-09-20,14:56:00,6.88,0.01564815361890697
2024-09-20,000858.XSHE,2024-09-19,15:00:00,105.97,2024-09-20,14:56:00,105.56,-0.004469019533830342
2024-09-23,600837.XSHG,2024-09-20,15:00:00,8.75,2024-09-23,14:56:00,8.75,-0.0006
2024-09-23,600340.XSHG,2024-09-20,15:00:00,1.07,2024-09-23,14:56:00,1.07,-0.0006
2024-09-23,512010.XSHG,2024-09-20,15:00:00,0.308,2024-09-23,14:56:00,0.307,-0.0038467532467532754
2024-09-23,000001.XSHE,2024-09-20,15:00:00,9.39,2024-09-23,14:56:00,9.52,0.013244515441959526
2024-09-23,601398.XSHG,2024-09-20,15:00:00,5.44,2024-09-23,14:56:00,5.48,0.006752941176470562
2024-09-24,512010.XSHG,2024-09-23,15:00:00,0.307,2024-09-24,14:56:00,0.318,0.035230618892508156
2024-09-24,512690.XSHG,2024-09-23,15:00:00,0.5,2024-09-24,14:56:00,0.53,0.05940000000000005
2024-09-24,601398.XSHG,2024-09-23,15:00:00,5.49,2024-09-24,14:56:00,5.75,0.04675883424408005
2024-09-24,159928.XSHE,2024-09-23,15:00:00,0.669,2024-09-24,14:56:00,0.71,0.06068550074738403
2024-09-24,000002.XSHE,2024-09-23,15:00:00,6.93,2024-09-24,14:56:00,7.12,0.026817027417027562
2024-09-25,600837.XSHG,2024-09-24,15:00:00,8.75,2024-09-25,14:56:00,8.75,-0.0006
2024-09-25,601857.XSHG,2024-09-24,15:00:00,8.13,2024-09-25,14:56:00,8.17,0.0043200492004919384
2024-09-25,512010.XSHG,2024-09-24,15:00:00,0.317,2024-09-25,14:56:00,0.323,0.018327444794952786
2024-09-25,600000.XSHG,2024-09-24,15:00:00,8.82,2024-09-25,14:56:00,9.18,0.040216326530612065
2024-09-25,000333.XSHE,2024-09-24,15:00:00,64.9,2024-09-25,14:56:00,66.97,0.0312952234206471
2024-09-26,159928.XSHE,2024-09-25,15:00:00,0.714,2024-09-26,14:56:00,0.777,0.08763529411764719
2024-09-26,000002.XSHE,2024-09-25,15:00:00,7.31,2024-09-26,14:56:00,8.04,0.09926320109439117
2024-09-26,000858.XSHE,2024-09-25,15:00:00,116.67,2024-09-26,14:56:00,128.33,0.09934000171423689
2024-09-26,512690.XSHG,2024-09-25,15:00:00,0.533,2024-09-26,14:56:00,0.586,0.09883714821763594
2024-09-26,600276.XSHG,2024-09-25,15:00:00,43.68,2024-09-26,14:56:00,46.32,0.059839560439560444
2024-09-27,000002.XSHE,2024-09-26,15:00:00,8.04,2024-09-27,14:56:00,8.84,0.09890248756218904
2024-09-27,000858.XSHE,2024-09-26,15:00:00,128.33,2024-09-27,14:56:00,141.17,0.09945454687134718
2024-09-27,512690.XSHG,2024-09-26,15:00:00,0.586,2024-09-27,14:56:00,0.645,0.10008259385665534
2024-09-27,600837.XSHG,2024-09-26,15:00:00,8.75,2024-09-27,14:56:00,8.75,-0.0006
2024-09-27,600340.XSHG,2024-09-26,15:00:00,1.24,2024-09-27,14:56:00,1.36,0.09617419354838723
2024-09-30,601166.XSHG,2024-09-27,15:00:00,17.52,2024-09-30,14:56:00,18.42,0.05076986301369872
2024-09-30,600036.XSHG,2024-09-27,15:00:00,34.15,2024-09-30,14:56:00,36.04,0.05474407027818444
2024-09-30,000002.XSHE,2024-09-27,15:00:00,8.84,2024-09-30,14:56:00,9.72,0.09894751131221728
2024-09-30,600837.XSHG,2024-09-27,15:00:00,8.75,2024-09-30,14:56:00,8.75,-0.0006
2024-09-30,512690.XSHG,2024-09-27,15:00:00,0.645,2024-09-30,14:56:00,0.71,0.10017519379844957
2024-10-08,600340.XSHG,2024-09-30,15:00:00,1.5,2024-10-08,14:56:00,1.65,0.09939999999999986
2024-10-08,000002.XSHE,2024-09-30,15:00:00,9.72,2024-10-08,14:56:00,10.32,0.061128395061728444
2024-10-08,600030.XSHG,2024-09-30,15:00:00,26.75,2024-10-08,14:56:00,29.43,0.09958691588785056
2024-10-08,512760.XSHG,2024-09-30,15:00:00,0.899,2024-10-08,14:56:00,0.989,0.09951123470522798
2024-10-08,600837.XSHG,2024-09-30,15:00:00,8.75,2024-10-08,14:56:00,8.75,-0.0006
2024-10-09,600519.XSHG,2024-10-08,15:00:00,1663.86,2024-10-09,14:56:00,1542.24,-0.07369509213515553
2024-10-09,600837.XSHG,2024-10-08,15:00:00,8.75,2024-10-09,14:56:00,8.75,-0.0006
2024-10-09,512760.XSHG,2024-10-08,15:00:00,0.989,2024-10-09,14:56:00,1.088,0.09950111223458051
2024-10-09,601398.XSHG,2024-10-08,15:00:00,5.87,2024-10-09,14:56:00,5.81,-0.010821465076661107
2024-10-09,600030.XSHG,2024-10-08,15:00:00,29.43,2024-10-09,14:56:00,29.95,0.01706904519198098
2024-10-10,159915.XSHE,2024-10-09,15:00:00,2.242,2024-10-10,14:56:00,2.175,-0.03048403211418389
2024-10-10,600030.XSHG,2024-10-09,15:00:00,29.85,2024-10-10,14:56:00,27.31,-0.08569212730318272
2024-10-10,512010.XSHG,2024-10-09,15:00:00,0.4,2024-10-10,14:56:00,0.399,-0.0030999999999999465
2024-10-10,600276.XSHG,2024-10-09,15:00:00,51.49,2024-10-10,14:56:00,52.32,0.01551963488055923
2024-10-10,000001.XSHE,2024-10-09,15:00:00,11.08,2024-10-10,14:56:00,11.61,0.04723393501805055
2024-10-11,512760.XSHG,2024-10-10,15:00:00,1.051,2024-10-11,14:56:00,0.987,-0.061494386298762985
2024-10-11,000858.XSHE,2024-10-10,15:00:00,145.22,2024-10-11,14:56:00,143.04,-0.015611706376532152
2024-10-11,600030.XSHG,2024-10-10,15:00:00,27.29,2024-10-11,14:56:00,27.62,0.011492341517039307
2024-10-11,159915.XSHE,2024-10-10,15:00:00,2.174,2024-10-11,14:56:00,2.062,-0.05211793928242876
2024-10-11,600340.XSHG,2024-10-10,15:00:00,1.4,2024-10-11,14:56:00,1.39,-0.007742857142857117
2024-10-14,600340.XSHG,2024-10-11,15:00:00,1.4,2024-10-14,14:56:00,1.5,0.0708285714285714
2024-10-14,601857.XSHG,2024-10-11,15:00:00,8.46,2024-10-14,14:56:00,8.5,0.004128132387706863
2024-10-14,512760.XSHG,2024-10-11,15:00:00,0.986,2024-10-14,14:56:00,1.018,0.03185436105476673
2024-10-14,000002.XSHE,2024-10-11,15:00:00,9.1,2024-10-14,14:56:00,9.35,0.026872527472527375
2024-10-14,601318.XSHG,2024-10-11,15:00:00,55.02,2024-10-14,14:56:00,56.11,0.01921097782624497
2024-10-15,601166.XSHG,2024-10-14,15:00:00,18.78,2024-10-15,14:56:00,18.52,-0.014444515441959637
2024-10-15,600519.XSHG,2024-10-14,15:00:00,1547.01,2024-10-15,14:56:00,1501.23,-0.030192568890957405
2024-10-15,000002.XSHE,2024-10-14,15:00:00,9.34,2024-10-15,14:56:00,9.21,-0.014518629550321082
2024-10-15,512800.XSHG,2024-10-14,15:00:00,0.723,2024-10-15,14:56:00,0.707,-0.022730013831258677
2024-10-15,000001.XSHE,2024-10-14,15:00:00,11.65,2024-10-15,14:56:00,11.53,-0.010900429184549431
2024-10-16,159915.XSHE,2024-10-15,15:00:00,2.045,2024-10-16,14:56:00,2.0,-0.022604889975550057
2024-10-16,600837.XSHG,2024-10-15,15:00:00,10.8,2024-10-16,14:56:00,11.66,0.07902962962962949
2024-10-16,000002.XSHE,2024-10-15,15:00:00,9.2,2024-10-16,14:56:00,9.97,0.08309565217391317
2024-10-16,512760.XSHG,2024-10-15,15:00:00,1.001,2024-10-16,14:56:00,0.977,-0.02457602397602394
2024-10-16,000858.XSHE,2024-10-15,15:00:00,137.59,2024-10-16,14:56:00,135.29,-0.017316331128715844
2024-10-17,601398.XSHG,2024-10-16,15:00:00,6.1,2024-10-17,14:56:00,6.05,-0.008796721311475419
2024-10-17,600276.XSHG,2024-10-16,15:00:00,49.0,2024-10-17,14:56:00,49.1,0.0014408163265306369
2024-10-17,000333.XSHE,2024-10-16,15:00:00,71.77,2024-10-17,14:56:00,69.67,-0.02986013654730386
2024-10-17,600036.XSHG,2024-10-16,15:00:00,37.86,2024-10-17,14:56:00,36.91,-0.025692445853143186
2024-10-17,601857.XSHG,2024-10-16,15:00:00,8.19,2024-10-17,14:56:00,8.13,-0.007926007326007189
2024-10-18,600276.XSHG,2024-10-17,15:00:00,49.04,2024-10-18,14:56:00,50.3,0.02509331158238164
2024-10-18,000858.XSHE,2024-10-17,15:00:00,131.81,2024-10-18,14:56:00,136.66,0.03619538729990139
2024-10-18,000333.XSHE,2024-10-17,15:00:00,69.71,2024-10-18,14:56:00,71.49,0.024934356620284138
2024-10-18,159928.XSHE,2024-10-17,15:00:00,0.789,2024-10-18,14:56:00,0.812,0.0285508238276299
2024-10-18,600519.XSHG,2024-10-17,15:00:00,1443.3,2024-10-18,14:56:00,1489.53,0.031430762835169476
2024-10-21,600837.XSHG,2024-10-18,15:00:00,13.35,2024-10-21,14:56:00,12.4,-0.07176104868913853
2024-10-21,600030.XSHG,2024-10-18,15:00:00,27.45,2024-10-21,14:56:00,26.98,-0.017722040072859668
2024-10-21,510500.XSHG,2024-10-18,15:00:00,5.644,2024-10-21,14:56:00,5.698,0.008967682494684649
2024-10-21,159915.XSHE,2024-10-18,15:00:00,2.156,2024-10-21,14:56:00,2.167,0.004502040816326481
2024-10-21,601318.XSHG,2024-10-18,15:00:00,55.57,2024-10-21,14:56:00,55.27,-0.005998596364945107
2024-10-22,600340.XSHG,2024-10-21,15:00:00,1.44,2024-10-22,14:56:00,1.51,0.04801111111111116
2024-10-22,600837.XSHG,2024-10-21,15:00:00,12.4,2024-10-22,14:56:00,12.31,-0.007858064516128981
2024-10-22,512760.XSHG,2024-10-21,15:00:00,1.122,2024-10-22,14:56:00,1.106,-0.014860249554367221
2024-10-22,600000.XSHG,2024-10-21,15:00:00,9.86,2024-10-22,14:56:00,9.83,-0.003642596348884263
2024-10-22,000001.XSHE,2024-10-21,15:00:00,11.45,2024-10-22,14:56:00,11.43,-0.0023467248908296094
2024-10-23,600340.XSHG,2024-10-22,15:00:00,1.5,2024-10-23,14:56:00,1.49,-0.0072666666666667094
2024-10-23,600036.XSHG,2024-10-22,15:00:00,37.55,2024-10-23,14:56:00,38.01,0.011650332889480742
2024-10-23,601166.XSHG,2024-10-22,15:00:00,18.29,2024-10-23,14:56:00,18.33,0.0015869874248221512
2024-10-23,000333.XSHE,2024-10-22,15:00:00,72.97,2024-10-23,14:56:00,72.86,-0.0021074688228038367
2024-10-23,000001.XSHE,2024-10-22,15:00:00,11.43,2024-10-23,14:56:00,11.49,0.004649343832021136
2024-10-24,600837.XSHG,2024-10-23,15:00:00,11.98,2024-10-24,14:56:00,12.11,0.01025141903171949
2024-10-24,600030.XSHG,2024-10-23,15:00:00,27.11,2024-10-24,14:56:00,26.81,-0.011666027296200653
2024-10-24,159915.XSHE,2024-10-23,15:00:00,2.162,2024-10-24,14:56:00,2.133,-0.014013506012950882
2024-10-24,512760.XSHG,2024-10-23,15:00:00,1.087,2024-10-24,14:56:00,1.088,0.0003199632014720294
2024-10-24,510500.XSHG,2024-10-23,15:00:00,5.774,2024-10-24,14:56:00,5.725,-0.009086317977138946
2024-10-25,600030.XSHG,2024-10-24,15:00:00,26.83,2024-10-25,14:56:00,27.03,0.0068543421543049605
2024-10-25,000858.XSHE,2024-10-24,15:00:00,139.94,2024-10-25,14:56:00,141.5,0.010547634700585885
2024-10-25,159915.XSHE,2024-10-24,15:00:00,2.132,2024-10-25,14:56:00,2.197,0.029887804878048808
2024-10-25,512690.XSHG,2024-10-24,15:00:00,0.622,2024-10-25,14:56:00,0.626,0.005830868167202508
2024-10-25,600519.XSHG,2024-10-24,15:00:00,1498.92,2024-10-25,14:56:00,1506.26,0.00429685907186499
2024-10-28,600837.XSHG,2024-10-25,15:00:00,11.88,2024-10-28,14:56:00,11.74,-0.012384511784511786
2024-10-28,512800.XSHG,2024-10-25,15:00:00,0.706,2024-10-28,14:56:00,0.699,-0.010515014164305957
2024-10-28,000002.XSHE,2024-10-25,15:00:00,9.14,2024-10-28,14:56:00,9.38,0.025658205689277947
2024-10-28,000001.XSHE,2024-10-25,15:00:00,11.35,2024-10-28,14:56:00,11.27,-0.007648458149779724
2024-10-28,601857.XSHG,2024-10-25,15:00:00,8.16,2024-10-28,14:56:00,8.13,-0.00427647058823517
2024-10-29,600519.XSHG,2024-10-28,15:00:00,1511.29,2024-10-29,14:56:00,1479.07,-0.02191953496681649
2024-10-29,600276.XSHG,2024-10-28,15:00:00,48.42,2024-10-29,14:56:00,48.07,-0.007828418009087134
2024-10-29,512010.XSHG,2024-10-28,15:00:00,0.385,2024-10-29,14:56:00,0.377,-0.021379220779220786
2024-10-29,512690.XSHG,2024-10-28,15:00:00,0.644,2024-10-29,14:56:00,0.627,-0.026997515527950332
2024-10-29,600340.XSHG,2024-10-28,15:00:00,1.71,2024-10-29,14:56:00,1.88,0.09881520467836251
2024-10-30,512760.XSHG,2024-10-29,15:00:00,1.093,2024-10-30,14:56:00,1.076,-0.016153522415370446
2024-10-30,512010.XSHG,2024-10-29,15:00:00,0.378,2024-10-30,14:56:00,0.373,-0.013827513227513254
2024-10-30,000858.XSHE,2024-10-29,15:00:00,144.09,2024-10-30,14:56:00,142.2,-0.013716801998750871
2024-10-30,159915.XSHE,2024-10-29,15:00:00,2.135,2024-10-30,14:56:00,2.112,-0.01137283372365323
2024-10-30,159928.XSHE,2024-10-29,15:00:00,0.83,2024-10-30,14:56:00,0.825,-0.006624096385542132
2024-10-31,600000.XSHG,2024-10-30,15:00:00,9.65,2024-10-31,14:56:00,9.53,-0.013035233160621894
2024-10-31,600036.XSHG,2024-10-30,15:00:00,36.31,2024-10-31,14:56:00,35.74,-0.016298154778297946
2024-10-31,600104.XSHG,2024-10-30,15:00:00,13.11,2024-10-31,14:56:00,12.81,-0.023483295194507935
2024-10-31,601166.XSHG,2024-10-30,15:00:00,17.93,2024-10-31,14:56:00,17.47,-0.026255326268823275
2024-10-31,512800.XSHG,2024-10-30,15:00:00,0.691,2024-10-31,14:56:00,0.686,-0.007835890014471669
2024-11-01,512760.XSHG,2024-10-31,15:00:00,1.099,2024-11-01,14:56:00,1.056,-0.039726478616924424
2024-11-01,159915.XSHE,2024-10-31,15:00:00,2.122,2024-11-01,14:56:00,2.085,-0.01803638077285581
2024-11-01,600837.XSHG,2024-10-31,15:00:00,11.79,2024-11-01,14:56:00,11.47,-0.02774164546225606
2024-11-01,000002.XSHE,2024-10-31,15:00:00,9.28,2024-11-01,14:56:00,9.12,-0.017841379310344862
2024-11-01,510500.XSHG,2024-10-31,15:00:00,5.903,2024-11-01,14:56:00,5.842,-0.01093372861256987
2024-11-04,512760.XSHG,2024-11-01,15:00:00,1.057,2024-11-04,14:56:00,1.074,0.01548325449385073
2024-11-04,600837.XSHG,2024-11-01,15:00:00,11.47,2024-11-04,14:56:00,11.69,0.018580470793373816
2024-11-04,512010.XSHG,2024-11-01,15:00:00,0.371,2024-11-04,14:56:00,0.374,0.007486253369272267
2024-11-04,159915.XSHE,2024-11-01,15:00:00,2.084,2024-11-04,14:56:00,2.144,0.028190786948176717
2024-11-04,000002.XSHE,2024-11-01,15:00:00,9.11,2024-11-04,14:56:00,9.07,-0.004990779363336872
2024-11-05,600340.XSHG,2024-11-04,15:00:00,2.76,2024-11-05,14:56:00,3.04,0.10084927536231884
2024-11-05,600000.XSHG,2024-11-04,15:00:00,9.7,2024-11-05,14:56:00,9.75,0.004554639175257714
2024-11-05,601398.XSHG,2024-11-04,15:00:00,5.88,2024-11-05,14:56:00,5.89,0.001100680272108901
2024-11-05,000333.XSHE,2024-11-04,15:00:00,69.48,2024-11-05,14:56:00,69.78,0.0037177892918824236
2024-11-05,600276.XSHG,2024-11-04,15:00:00,47.82,2024-11-05,14:56:00,48.49,0.013410874111250571
2024-11-06,000333.XSHE,2024-11-05,15:00:00,69.76,2024-11-06,14:56:00,67.83,-0.028266284403669805
2024-11-06,510500.XSHG,2024-11-05,15:00:00,6.115,2024-11-06,14:56:00,6.127,0.0013623875715453211
2024-11-06,000858.XSHE,2024-11-05,15:00:00,146.0,2024-11-06,14:56:00,144.57,-0.010394520547945273
2024-11-06,600104.XSHG,2024-11-05,15:00:00,13.2,2024-11-06,14:56:00,13.2,-0.0006
2024-11-06,600340.XSHG,2024-11-05,15:00:00,3.04,2024-11-06,14:56:00,3.34,0.0980842105263157
2024-11-07,600030.XSHG,2024-11-06,15:00:00,30.57,2024-11-07,14:56:00,33.62,0.09917101733725857
2024-11-07,600837.XSHG,2024-11-06,15:00:00,12.26,2024-11-07,14:56:00,12.85,0.04752398042414356
2024-11-07,159915.XSHE,2024-11-06,15:00:00,2.223,2024-11-07,14:56:00,2.303,0.035387404408457154
2024-11-07,512760.XSHG,2024-11-06,15:00:00,1.148,2024-11-07,14:56:00,1.175,0.022919163763066287
2024-11-07,510500.XSHG,2024-11-06,15:00:00,6.122,2024-11-07,14:56:00,6.23,0.017041293694871108
2024-11-08,600837.XSHG,2024-11-07,15:00:00,12.85,2024-11-08,14:56:00,12.48,-0.029393774319066045
2024-11-08,600340.XSHG,2024-11-07,15:00:00,3.67,2024-11-08,14:56:00,4.04,0.10021743869209813
2024-11-08,600030.XSHG,2024-11-07,15:00:00,33.62,2024-11-08,14:56:00,34.33,0.020518381915526508
2024-11-08,000333.XSHE,2024-11-07,15:00:00,68.78,2024-11-08,14:56:00,69.22,0.005797208490840356
2024-11-08,510500.XSHG,2024-11-07,15:00:00,6.24,2024-11-08,14:56:00,6.228,-0.002523076923077027
2024-11-11,600030.XSHG,2024-11-08,15:00:00,34.3,2024-11-11,14:56:00,34.31,-0.0003084548104955281
2024-11-11,512760.XSHG,2024-11-08,15:00:00,1.184,2024-11-11,14:56:00,1.258,0.0619
